name,symbol,collection_name,IMAGE,Background,Fur / Skin,Noggin,Pie Hole,Grille,Threads,Shades,generation,Proof of Life,Inmate number,Token Address,Owner
Exiled Ape #17,xape,The Exiled Apes ,5160.png,Exile-Yellow,Brown / Yellow,Degen Curve Bill Hat,No Traits,Wooden Toof,No Traits,Blues Brothers,X,Full, #5160,AxM2hUhzCmYFfTSUV6RGs6TjMkEfn5VCJwgxnE3N4B7e,GadrUMEEnK8sw2HvpdbgHNt2ZZxh3GVmWUxYSndTWgkP
Exiled Ape #18,xape,The Exiled Apes ,6424.png,Exile-Purple,Purple / Purple,Ragnar,Grilled Cheeze Token,No Traits,Bibs,No Traits,X,Full, #6424,wGWzA3hMoaUYKSL91FDCQQNrPRSmcdvmt2t7dSyhpxt,9QvjfHfgahg1TCTb6PEANe44LuCCBmYx6zS7yELwLDoK
Exiled Ape #19,xape,The Exiled Apes ,4578.png,Exile-Green,Black / Gray,Kung Foo Panda,Filthy Moolah,No Traits,Bibs,Exiled Vipers,X,Full, #4578,BqWPfZ5idKdyWTHF9N9LUpd4hQzjoJkhNkb9oYZJHjB7,2aR4dLSie7VJ7Hmy6z4t1ftfLJZ3Xeo5mVKQByW3SknR
Exiled Ape #20,xape,The Exiled Apes ,7534.png,Exile-Blue,Blue / Blue,The Goodfella,Hopium pipe,No Traits,Beach Bum,No Traits,X,Full, #7534,J75vYFUXSxX7ns3BZF5wjDNbKwsVmhcqwk1mHuV9LGoJ,2mJdCHckzHN5Dao2ZyrLKmqnM2B9TcmQuMbGpK92RiCN
Exiled Ape #21,xape,The Exiled Apes ,8230.png,Exile-Purple,Purple / Peach,Degen Curve Bill Hat,Burger Token,No Traits,The Bully,Mirc Shades,X,Full, #8230,6nKDFrYbXvcXcKJJwPnCD8f7z9YjSHFn4cpDmkrhAtPq,C15XChkzQndTkPXCC1SzsAZ1sgMmD6f3JptYNLVCemCb
Exiled Ape #22,xape,The Exiled Apes ,6309.png,Exile-Teal,Black / Peach,Bluto's Wreath,Spittle,No Traits,No Traits,No Traits,X,Full, #6309,2wjc9z7xXzLVCVBmH2okJemDqgLEcP9bsbyeBUSpjB3u,CoZgvw3e38YAdhVy5SKdEFHVPgfUWoUsB6QHWxrYJeQP
Exiled Ape #23,xape,The Exiled Apes ,2690.png,Exile-Teal,Brown / Yellow,No Traits,Pizza Token,No Traits,No Traits,Exiled Vipers,X,Full, #2690,8M2XFCmhTgcUrJHBhJfdHvjUTX4gMTr8i1N28F1HzEgs,6SAyYevnqG39u4ZDKAFNHWLwGpJeFoP1uyCpgdtFzAmv
Exiled Ape #24,xape,The Exiled Apes ,2709.png,Exile-Red,Red / Blue,Kung Foo Panda,No Traits,No Traits,Bride,No Traits,X,Ghost, #2709,56HcDYCJ9nqSM45yreRsNpsAuqwpkoKEbFB3zxqhZFGF,Gg1dcDi3gUqt1DhwLKgUWRRdpjgwqVAzKDXiKkCpd2H
Exiled Ape #25,xape,The Exiled Apes ,7946.png,Exile-Red,Brown / Yellow,Phuckit Freestyler,Hefeweizen,No Traits,Bride,Blues Brothers,X,Ghost, #7946,CN3J12otpM7vcitR3Zy2szD6GYpa1BD6az7o4THsCS9W,F4ghBzHFNgJxV4wEQDchU5i7n4XWWMBSaq7CuswGiVsr
Exiled Ape #26,xape,The Exiled Apes ,1589.png,Exile-Purple,Ice,Ronald Lee Ermey,Burger Token,No Traits,Chateau D'if,Exiled Vipers,X,Full, #1589,7p6AhcUZspjFW529EmQcX7vAiRsaH9Mk85JkFA85q8NB,C5WKXmq3mPmuM9Yrawz71cD6Z3wvx6DUae4UkdwxxS7c
Exiled Ape #27,xape,The Exiled Apes ,3425.png,Exile-Green,Green / Peach,The Picard,Banana Token,No Traits,Bee's Bomber,No Traits,X,Ghost, #3425,568VQUG4Ca1cXtrq2BedK5xiMXCVbijE4HKsoNCmUSTX,H5WTxP3p2rMeSNk6a9rpsVmi4LMoaerQWQBbLWBfifoT
Exiled Ape #28,xape,The Exiled Apes ,5736.png,Exile-Green,Green / Peach,Yield Farmin Hat,No Traits,No Traits,Bee's Bomber,Blues Brothers,X,Full, #5736,H2PyW6xdFnDzvB3pXg46qJJRretVKw7Uvbh6CqyyNbBB,H14gzn6mMyTBJLgr2JmFaLn5mWkQHM3hGJXj3xhTb1Cs
Exiled Ape #29,xape,The Exiled Apes ,3999.png,Exile-Red,Red / Peach,No Traits,Hopium pipe,No Traits,Bibs,No Traits,X,Full, #3999,FaBvyLhu56KYJE9yNJpkoMX8xx6r4hHmKTgUcWME5DBG,68qjgdK5oTJcmHUgJtRghzcA1u97PtACEc5cC66K2cXw
Exiled Ape #30,xape,The Exiled Apes ,2676.png,Exile-Yellow,Brown / Yellow,The Goodfella,No Traits,No Traits,Bibs,Mirc Shades,X,Full, #2676,4KrZ5HvGD6kWat8D8CgRSYvHdoD7BfGbMd1hPiA3fVnr,4us47W1bnHCqzjzbzn5ZJwjxnc3RBZqe4Lkid7TfNQBX
Exiled Ape #31,xape,The Exiled Apes ,205.png,Exile-Blue,Leopard,Airforce Mirc,Sushi Token,Gold Toof,Bibs,No Traits,X,Full, #205,9yZ3iTmD9hxh7otTJnVcZ7UT1TgLkJukKpTMx6JyjAvj,D9ocuVXQArTQYAr5n1cnxPBJc4PLxYTpmCFtBVZhgNY5
Exiled Ape #32,xape,The Exiled Apes ,4871.png,Exile-Black,Brown / Yellow,Took,No Traits,No Traits,Black Castaway,Exiled Vipers,X,Ghost, #4871,6SDtD4BabFLddxt4wi29h35YXu6Co9u1v6upTr45SZJ9,9zsSA97xaDgEFz5RZxxmowxuJnk3rsXtRPzVhP6roxZr
Exiled Ape #33,xape,The Exiled Apes ,8186.png,Exile-Green,Green / Green,The Crockett,Banana Token,No Traits,Wiggam's Coat,No Traits,X,Full, #8186,Bjc9dKVguv8inN7HPLBGjy7TN6jswZQpxSoYvhmEiaN3,F4ghBzHFNgJxV4wEQDchU5i7n4XWWMBSaq7CuswGiVsr
Exiled Ape #34,xape,The Exiled Apes ,1071.png,Exile-Green,Green / Peach,Johnny Football,Banana Token,No Traits,No Traits,No Traits,X,Full, #1071,CpQuUrCZHjSW6sksL86X3pEy45Jy3QhWmauej3o884rF,X8DCMUDKidvVg5DE3ggub1vogZb3JggXHyvGnkwMHUj
Exiled Ape #35,xape,The Exiled Apes ,7967.png,Exile-Purple,Brown / Yellow,Rihanna,No Traits,No Traits,French Maid,No Traits,X,Full, #7967,ApTcWhbcLe5kpcJSqdYV1iKKy7uQErqietqD1Fb89yrx,CNiUmAmPEnxW4jexHYsoSTJtdGqWrkPN6oWB7sc2K3cb
Exiled Ape #36,xape,The Exiled Apes ,2917.png,Exile-Purple,Purple / Peach,Dropout,Hotdog Token,No Traits,NB Exile-Purple,No Traits,X,Full, #2917,Dm1wWuDdED4Sdw7biX8bfnHVLb5nzuEZdf8VVbXN9eNB,6MipZ4aXisGZuTHzbyyswLLXEUabz2PgBGtHW9mXFq8y
Exiled Ape #37,xape,The Exiled Apes ,2277.png,Exile-Purple,Purple / Peach,Noggin Merkin,No Traits,No Traits,Magnum P.I.,No Traits,X,Ghost, #2277,GLSStDfka9NvguSzVhExmVULGaoLpNz64rAPtdxCQaVX,GFVoNB6nTuukxEsV5stVMrfLbiNeAGt36uAf1vT6tn4x
Exiled Ape #38,xape,The Exiled Apes ,469.png,Exile-Green,Blue / Blue,Noggin Merkin,Corndog Token,No Traits,No Traits,No Traits,X,Ghost, #469,JCHFLX6zEnVE5QJ9YmbAiiPp675EDWePy8tngVo2FbnA,6TMaNDjid9dnwhwue3yFyP16zhBJy2uTm4nJr2sQBiRX
Exiled Ape #39,xape,The Exiled Apes ,3574.png,Exile-Yellow,Purple / Peach,Trucker Flat Bill,Technicolor Yawn,No Traits,Chateau D'if,Tea Shades,X,Ghost, #3574,8bBgLZvTfz6ogzVjXpcfSvxa4qQbjXTPoi8wSEp2Z15,8Gx49R2WrtjYhuv3VwpcTMbKuYXX8AgH8egUbsEkDLsp
Exiled Ape #40,xape,The Exiled Apes ,-.png,,,,No Traits,No Traits,,No Traits,X,Blank,-,BNmPrebrQuhD6U7fJVJB5JeqicsWrPUFwitym7tB3kFg,HjA3Vjw6DvSZBmB15wsptMuUQKPsPwDrABikunwfnrmE
Exiled Ape #41,xape,The Exiled Apes ,4361.png,Exile-Teal,Green / Peach,2Pac,Burger Token,Wooden Toof,No Traits,No Traits,X,Ghost, #4361,71ejwXnvj6CiT4JXGbygxJvULWta6FW7pPZxUxuXPRFC,H1KyqiXycbZetQz8ce5wjadcJdkmUdCiZQA1zrqVii9H
Exiled Ape #42,xape,The Exiled Apes ,4307.png,Exile-Black,Black / Peach,Boonie Hat,Pizza Token,No Traits,Sideline Top,No Traits,X,Ghost, #4307,EgQHViQjtt1Hh5DTFzyMrxvsG3TQHnVccZt4FpMKtrog,AYPgwWsHuZxj6gWTjAwwH4cHUL8GMYdLRseX7xEYCb5m
Exiled Ape #43,xape,The Exiled Apes ,3558.png,Exile-Black,Black / Peach,Dixie Cup,Eggplant Token,No Traits,The Bully,No Traits,X,Full, #3558,7XEyrHJQWhr7Z4AXTkJ6CXNPyGX3Zf8tgyMJk22s3gTc,62fFigHfUyhToRZuRGwcn9f87SqPt2ztU8zWUWPugMga
Exiled Ape #44,xape,The Exiled Apes ,6670.png,Exile-Black,Red / Blue,Dixie Cup,Hefeweizen,No Traits,Irwin's Coat,Blues Brothers,X,Ghost, #6670,FFqDC83jYmrt6nQ8yDhnS2XCtrQaNM3ZmWEuCBjxqVH5,GX65v6JYzR7fDU1LnCzYPoRiXayyFabAadXhShhDdvJA
Exiled Ape #45,xape,The Exiled Apes ,8502.png,Exile-Red,Green / Peach,Trucker Flat Bill,Hefeweizen,No Traits,Korg's Gym,No Traits,X,Full, #8502,mTycBvqNtZfGvK8Zoz19m2bWjx8GYMvHvpW8TT59JbY,6M8Rtfg6B8S7amEDz9pLKDw5jB4czF79thhj9Feogcf
Exiled Ape #46,xape,The Exiled Apes ,4066.png,Exile-Red,Purple / Peach,Phuckit Freestyler,No Traits,No Traits,Peace-N-Love,No Traits,X,Full, #4066,5wRPff6v4pti6XkveKZhBXCCsG3cBCTzVZiA4ZMoGDuC,6TMaNDjid9dnwhwue3yFyP16zhBJy2uTm4nJr2sQBiRX
Exiled Ape #47,xape,The Exiled Apes ,1669.png,Exile-Yellow,Brown / Peach,Phuckit Freestyler,No Traits,No Traits,Peace-N-Love,No Traits,X,Full, #1669,Cy1c8eakEcyiwYUmVB5ZX8AE1HYgEQhZ2vCg5WEZsgqr,4YVXzZsD1VA3xQK32Xf2BDwGPyaftJegYeSRvLMfZ9FJ
Exiled Ape #48,xape,The Exiled Apes ,-.png,,,,No Traits,No Traits,,No Traits,X,Blank,-,9URY9dkiiE3nWtHUhapfAW3TDJoRjsiZ31LXyJjMbHRF,6Dw772u6hdC6ZREoiXHGtZtaaRbP6SJkeqBCkLsLEfJU
Exiled Ape #49,xape,The Exiled Apes ,1329.png,Exile-Blue,Blue / Blue,No Traits,Pizza Token,No Traits,Mirc's Bomber,No Traits,X,Full, #1329,596VePoVT3e5BA672XuPsZBiVTQkTDkKqf3pMChNC53W,4us47W1bnHCqzjzbzn5ZJwjxnc3RBZqe4Lkid7TfNQBX
Exiled Ape #50,xape,The Exiled Apes ,6795.png,Exile-Purple,Purple / Peach,Yield Farmin Hat,Pizza Token,No Traits,Irwin's Coat,Mirc Shades,X,Ghost, #6795,GMct65Y2MEbiF4WTtHXDAPnBTgfoe6sRoDUfXeTYSrCG,GRowGA1cq9abztLhXJykXoD7sAnxUARQap2sRX2CZgpv
Exiled Ape #51,xape,The Exiled Apes ,4648.png,Exile-Red,Red / Blue,Wiggam's Cap,Sandwich Token,No Traits,Sideline Top,No Traits,X,Full, #4648,4XQ4Pz8njdF8EiKMKXmTpb511CyW9dHsL1vg4MYwS1UZ,GRowGA1cq9abztLhXJykXoD7sAnxUARQap2sRX2CZgpv
Exiled Ape #52,xape,The Exiled Apes ,2143.png,Exile-Green,Blue / Peach,No Traits,Grilled Cheeze Token,No Traits,Korg's Gym,No Traits,X,Full, #2143,9Y9A6pC8c3D8TrSZELmQ42eyqd9E4ttU3YRFcv95bdLh,6M8Rtfg6B8S7amEDz9pLKDw5jB4czF79thhj9Feogcf
Exiled Ape #53,xape,The Exiled Apes ,8133.png,Exile-Yellow,Brown / Peach,Bluto's Wreath,No Traits,No Traits,No Traits,Exiled Vipers,X,Full, #8133,D9CtzPpHZG9HPRxgWd4pcTUWBmoVK19ASmJVbQLdJBnp,HYBvHCPzPzdcEUwRmEpStKd8Tcyy4FxBA9rZsZmk9kd9
Exiled Ape #54,xape,The Exiled Apes ,9107.png,Exile-Blue,Blue / Blue,The Goodfella,Tony Soprano,No Traits,The Biafra,Exiled Vipers,X,Full, #9107,3zxcCQDbGqjaiibnQFsdgq6ziYQfupUQ5KpvznzEXMba,2mJdCHckzHN5Dao2ZyrLKmqnM2B9TcmQuMbGpK92RiCN
Exiled Ape #55,xape,The Exiled Apes ,3501.png,Exile-Green,Green / Peach,No Traits,Banana Token,No Traits,The Steve Jobs,Exiled Vipers,X,Ghost, #3501,AaGZ7xQPC8vLnKDg3vLFD8Tf4k4yHqUM2YLg7sSxt26q,6TMaNDjid9dnwhwue3yFyP16zhBJy2uTm4nJr2sQBiRX
Exiled Ape #56,xape,The Exiled Apes ,9844.png,Exile-Teal,Brown / Peach,No Traits,Sandwich Token,No Traits,No Traits,Exiled Vipers,X,Full, #9844,AKMyz1XVBwNB9pdZ9ZAXeFj26xuTgyTByMZUMywdoXtt,6M8Rtfg6B8S7amEDz9pLKDw5jB4czF79thhj9Feogcf
Exiled Ape #57,xape,The Exiled Apes ,6527.png,Exile-Red,Red / Blue,Rihanna,Hotdog Token,No Traits,The Steve Jobs,Tea Shades,X,Full, #6527,Ed5mGvziFHHPDRmXnmFMGJP2f9Rw2g6ztBWK1NuJDjDX,C15XChkzQndTkPXCC1SzsAZ1sgMmD6f3JptYNLVCemCb
Exiled Ape #58,xape,The Exiled Apes ,1683.png,Exile-Red,Red / Blue,Kung Foo Panda,No Traits,No Traits,Bee's Bomber,Blues Brothers,X,Full, #1683,4JJmneKNQzuFdR639xeiTARSGiQkTEfpKzmnjdfTkpa4,5KP1uHSgNgxSfbLma4rXrSioLaxqg5pL1u6uhYfFowvQ
Exiled Ape #59,xape,The Exiled Apes ,-.png,,,,No Traits,No Traits,,No Traits,X,Blank,-,8Cpf4Y8w1q2jkPMuNJsKbhyvPCRJDSi1mkkyJtktAmqE,AaGhxCk3PCghrS7je44gdtWrKZGQiJRHmuJtZAv9xy6P
Exiled Ape #60,xape,The Exiled Apes ,9472.png,Exile-Yellow,Brown / Peach,Johnny Football,Sushi Token,No Traits,Bride,No Traits,X,Full, #9472,7PwgWNdX2sxTKVT47xYSDRNFjh8xBXqdJhJBCNUNytCd,8kX16Yj2WBCz1sPXcimafGrutQkw3s3Swe9sR3gt3cC2
Exiled Ape #61,xape,The Exiled Apes ,8823.png,Exile-Red,Red / Peach,Dumbledoof's Hat,Grilled Cheeze Token,No Traits,No Traits,No Traits,X,Full, #8823,9VKYPVegH8kHNHcsdiJq7M7X8J42hrPAF8dzJbdaPhR7,ApFx3iGNsL34x5tDVsZKRmcRLTqsPn6q68cnMbXYhTVY
Exiled Ape #62,xape,The Exiled Apes ,2877.png,Exile-Yellow,Green / Peach,Imhotep's Neme,Fruit Stripes Gum,No Traits,Peace-N-Love,No Traits,X,Ghost, #2877,4SiJs8L7myKQCkiH3CFPWsvv7q1ybNkHTJBCAFPcMejJ,3xzSbHYdsBgQqSbU362pDRnPHXYmToxPdGfA4qpZ3cmP
Exiled Ape #63,xape,The Exiled Apes ,9256.png,Exile-Blue,Blue / Peach,Driving Miss Daisy,No Traits,No Traits,Bride,Sanctuary Shades,X,Full, #9256,86pfW3mdXjh7MjfmweKtVr8e4w85mTqkpKSeoHNn4J1L,GUfCR9mK6azb9vcpsxgXyj7XRPAKJd4KMHTTVvtncGgp
Exiled Ape #64,xape,The Exiled Apes ,8419.png,Exile-Red,Red / Peach,No Traits,No Traits,No Traits,Point Break,No Traits,X,Full, #8419,2Vrf4eRJJ4m5YWpYY6d1rvUD3chzAm9RNfHaa9u52Fkc,C15XChkzQndTkPXCC1SzsAZ1sgMmD6f3JptYNLVCemCb
Exiled Ape #65,xape,The Exiled Apes ,9843.png,Exile-Red,Red / Blue,Dunken Degen Hat,Burger Token,Wooden Toof,Empy's Day Off,No Traits,X,Full, #9843,68YMMbSfSJVE25tzfLBfiuvVu81kaY4BZSwL6Jd3eojy,HFudLx9Bm92TeeeN565nfDsNETbCGPoRAmx8nsaa1Jbz
Exiled Ape #66,xape,The Exiled Apes ,8809.png,Exile-Teal,Albino / Blue,The Volunteer Fireman,No Traits,No Traits,Irwin's Coat,No Traits,X,Full, #8809,BsQVkBHQJjFMmKtUePhfAyo7ncSpaHJVXk9qcpFNLNLr,E7py3ZrYZqsV1oNdtZav9eLrGNuz23WBtBrZvxcAUqL5
Exiled Ape #67,xape,The Exiled Apes ,3517.png,Exile-Purple,Albino / Peach,Dropout,Sandwich Token,No Traits,No Traits,Tea Shades,X,Ghost, #3517,581BqBN5XAkpRMhjXDH8RjBWAfmTDMavV7kYsnCujT5z,HfgBuh7mxV3sm6pqhxDFTmApcib7QoSXceN9EAokiRsX
Exiled Ape #68,xape,The Exiled Apes ,7046.png,Exile-Red,Brown / Peach,No Traits,No Traits,No Traits,Korg's Gym,No Traits,X,Full, #7046,HVfxZHzWYym3BSySwYXXgon1Q1SPSmJiZibFRfhrxEB7,9oPnLK2QAC4Rj3GoN3uGaUYjpWDSYuVmYPC46chKU4oX
Exiled Ape #69,xape,The Exiled Apes ,2328.png,Exile-Purple,Ice,Rihanna,Sandwich Token,No Traits,Magnum P.I.,No Traits,X,Full, #2328,9ZWCN9xUC7MaSkU1oXoJfgzehknQVbNDVtRgTGgpNPkJ,F4ghBzHFNgJxV4wEQDchU5i7n4XWWMBSaq7CuswGiVsr
Exiled Ape #70,xape,The Exiled Apes ,7093.png,Exile-Teal,Black / Peach,Degen Curve Bill Hat,Tendies Token,George Washington,Sideline Top,No Traits,X,Full, #7093,AkBa6gRZJQ7NHDzDRF9tnGUJkwbX6FoFqn8CiBCXSKxF,7Bps2RYsQi4owgLf2GoHrdYYwiHMRAJy1NHAJWVRgevY
Exiled Ape #71,xape,The Exiled Apes ,3004.png,Exile-Purple,Purple / Purple,Boonie Hat,No Traits,No Traits,The Biafra,No Traits,X,Full, #3004,E6Vzhm8yYc5DWxrqkXH7stkqH3cDcT8JC8U13BrmGVFn,GRowGA1cq9abztLhXJykXoD7sAnxUARQap2sRX2CZgpv
Exiled Ape #72,xape,The Exiled Apes ,8622.png,Exile-Yellow,Brown / Yellow,No Traits,Hefeweizen,No Traits,Point Break,No Traits,X,Full, #8622,djCYTo79b7DPvvrcJGeFQ44XVXKpmZFPRMCVjUyMLJJ,C4rfwLCG6K14k6VVeo2N6Ps3XUjBfSGnwwwnHPKu5n3n
Exiled Ape #73,xape,The Exiled Apes ,7419.png,Exile-Yellow,Brown / Peach,No Traits,Hefeweizen,No Traits,No Traits,No Traits,X,Full, #7419,AgbtZuijP5yMMYWGzhUFw1sie7XHpiFSxb8WuPouv3Rg,BFGRj9LKgmM2srB3Q5L8G6w3Wn1fvGL25GqXWe8RZV2g
Exiled Ape #74,xape,The Exiled Apes ,-.png,,,,No Traits,No Traits,,No Traits,X,Blank,-,91brwDpdB2XrQCUQJ6RXyDSLaFt5DhVZQLjjCUJuVX4s,EWPpTefBTfV4nWgcRfVc8zuwY1uuDeJJebNouvDkFF4x
Exiled Ape #75,xape,The Exiled Apes ,4609.png,Exile-Green,Green / Peach,Ragnar,Grilled Cheeze Token,No Traits,Beach Bum,4D Glasses,X,Ghost, #4609,6SirhZ2jqBnQs4McRrU6SCndnyduiD5xae3YQ1MQEFyD,Fzxda7bQ79NfC2RpZSMYQCtyx6PpUSEE6dVjuEHUZi2P
Exiled Ape #76,xape,The Exiled Apes ,1317.png,Exile-Yellow,Brown / Peach,The Picard,Spittle,No Traits,Point Break,No Traits,X,Full, #1317,5VxdXu9CWGuGNLkAFFaAHxmsgwYKZgt6c5n1DQsC23QR,4STrWijMVAamUhbKWALVs1M97Wy4R2CodwGcnbKFY2F4
Exiled Ape #77,xape,The Exiled Apes ,5100.png,Exile-Black,Black / Peach,The Indiana Jones,No Traits,No Traits,Bee's Bomber,Tea Shades,X,Full, #5100,D9VpDFXNWmWm14ArAdv9cecQggKJNAo37mAvNFJnMtPf,GUfCR9mK6azb9vcpsxgXyj7XRPAKJd4KMHTTVvtncGgp
Exiled Ape #78,xape,The Exiled Apes ,7241.png,Exile-Blue,Albino / Blue,No Traits,Grilled Cheeze Token,No Traits,Beach Bum,KanYe,X,Full, #7241,3Fm17PUEX3FzqP2SD11qqcrwWjyK5uvSumB4AdE8Dt2x,7FkhEmjFyL8sEmTgmfUTkmJHzjnkv9QvLTZ5pg24X8dh
Exiled Ape #79,xape,The Exiled Apes ,8679.png,Exile-Purple,Red / Blue,No Traits,Donut Token,No Traits,Bride,Tea Shades,X,Full, #8679,AaeFirrhyvUpTwxN1Aj8V5whCAXPygM8mzvMU3wSQiVn,8DUXSGMkEWrDpWb9BqALc4SGBVm8YkiPo4vfXdydqqFU
Exiled Ape #80,xape,The Exiled Apes ,7663.png,Exile-Teal,Brown / Peach,Steampunk,No Traits,No Traits,Bee's Bomber,No Traits,X,Full, #7663,4ofbvPgu8uukjXfnhCSdQ682gkWCcX2YCqNMvBexac1w,6WnAJCQNJUyadwzpSKw98detTkshKyDuodghhZfGyeUW
Exiled Ape #81,xape,The Exiled Apes ,5085.png,Exile-Black,Black / Peach,The Goodfella,Eggplant Token,Wooden Toof,The Kirk,Exiled Vipers,X,Full, #5085,FcTHzHnxxpAqVUEa5RFnpXpnzB6z92pukQtk1w366dXR,7s6iJrBSrL8Njs92iTeMcqNhBitcvhN6jXLB7eSR3iJx
